"flnatureza";"nmprimeiro";"nmsegundo";"dscep";"dsdocumento"
2;"Julian";"Pereira";"77064-036";"462.529.001-50"
2;"Rafaela";"Melo";"58058-660";"931.273.382-60"
1;"Gabrielly";"Oliveira";"13905-162";"458.657.586-75"
1;"Marcos";"Pinto";"73005-082";"784.634.733-00"
2;"Isabelle";"Gomes";"21070-072";"912.011.392-79"
1;"Lavinia";"Almeida";"60744-820";"828.853.811-83"
1;"Gabriel";"Azevedo";"82620-230";"378.986.764-08"
2;"Thiago";"Souza";"24476-660";"442.966.578-87"
2;"Manuela";"Carvalho";"17512-870";"303.079.870-43"
1;"Breno";"Rocha";"13203-536";"654.135.812-54"
1;"Gabriel";"Rocha";"13409-009";"272.440.225-14"
2;"Cauã";"Oliveira";"72231-209";"554.831.074-70"
2;"Nicole";"Pinto";"68703-040";"399.099.679-79"
2;"Vitoria";"Correia";"18075-170";"113.373.019-14"
1;"Nicole";"Santos";"04445-080";"112.255.680-21"
2;"Matheus";"Almeida";"29100-810";"917.789.352-22"
1;"Samuel";"Correia";"35502-418";"306.456.363-71"
2;"Isabella";"Castro";"21815-205";"230.958.431-27"
1;"Sarah";"Cavalcanti";"20530-500";"730.396.027-99"
2;"Julian";"Azevedo";"04809-110";"213.673.480-64"
1;"Fernanda";"Goncalves";"74393-120";"654.767.912-80"
2;"Vitória";"Rodrigues";"86035-080";"854.408.527-00"
2;"Melissa";"Melo";"54240-560";"975.454.101-90"
2;"Thaís";"Gomes";"38700-300";"142.099.192-25"
1;"Kaua";"Cunha";"06290-160";"912.150.513-60"
1;"Giovanna";"Almeida";"02262-070";"121.563.438-29"
1;"Vitór";"Pinto";"72862-213";"807.970.228-48"
2;"Amanda";"Oliveira";"06843-280";"395.489.320-75"
2;"Guilherme";"Martins";"26520-710";"364.982.286-52"
2;"Vitoria";"Oliveira";"14090-680";"949.956.959-66"
1;"Kauê";"Carvalho";"93022-195";"344.626.053-65"
1;"Aline";"Oliveira";"36301-326";"477.097.931-26"
2;"Tânia";"Costa";"79115-340";"880.346.421-26"
1;"Isabelle";"Goncalves";"24710-280";"126.402.171-27"
1;"Leila";"Gomes";"60015-141";"688.060.116-26"
1;"Gabrielly";"Barbosa";"78138-820";"507.082.181-48"
2;"Tânia";"Pereira";"40226-220";"462.617.042-01"
1;"Amanda";"Cunha";"73805-375";"599.328.768-36"
2;"Martim";"Barbosa";"35300-343";"878.718.812-05"
2;"Yasmin";"Lima";"72230-521";"591.686.358-69"
1;"Erick";"Lima";"75124-100";"633.293.805-60"
1;"Luiz";"Santos";"11040-290";"710.432.489-51"
1;"Camila";"Melo";"38702-212";"656.325.334-25"
1;"Julia";"Almeida";"85064-020";"639.438.861-07"
2;"Sophia";"Oliveira";"65052-800";"548.412.214-76"
2;"Isabela";"Ribeiro";"40425-160";"160.379.346-14"
2;"Leonardo";"Araujo";"32653-640";"327.889.339-59"
1;"André";"Silva";"74377-470";"840.243.621-86"
2;"Carolina";"Azevedo";"75908-200";"608.112.147-02"
2;"José";"Lima";"38182-266";"613.670.995-36"
1;"Bianca";"Costa";"04406-110";"574.282.633-87"
1;"Beatrice";"Sousa";"20931-670";"374.436.516-60"
1;"Rafael";"Melo";"13236-184";"121.452.564-40"
1;"Felipe";"Cardoso";"65072-026";"952.728.118-01"
1;"Otávio";"Azevedo";"13056-323";"187.993.911-80"
1;"Vitoria";"Goncalves";"54355-020";"446.244.971-12"
1;"Tânia";"Pinto";"38705-391";"155.665.983-07"
2;"Carolina";"Lima";"35500-435";"662.875.570-36"
2;"Larissa";"Correia";"11454-330";"506.309.606-90"
1;"Thiago";"Carvalho";"02208-210";"648.688.006-63"
1;"Danilo";"Azevedo";"74615-100";"950.559.856-40"
2;"Brenda";"Costa";"13085-145";"144.813.148-00"
1;"Marcos";"Azevedo";"85863-750";"481.629.192-01"
1;"Sarah";"Almeida";"61615-210";"160.168.269-79"
2;"Guilherme";"Cavalcanti";"72855-859";"451.604.635-00"
1;"Estevan";"Castro";"08151-590";"841.629.933-19"
1;"Luiza";"Ribeiro";"26433-260";"758.558.108-44"
2;"Ágatha";"Cardoso";"02085-100";"120.992.892-20"
1;"Luiza";"Cardoso";"06075-200";"640.190.448-80"
1;"Gabriel";"Ferreira";"18071-732";"312.488.998-30"
1;"Kaua";"Pinto";"04785-080";"526.102.813-23"
1;"Julia";"Cardoso";"13026-420";"290.155.200-54"
1;"Vinicius";"Azevedo";"40290-410";"861.460.012-79"
2;"Gabriela";"Correia";"13414-123";"463.324.920-74"
2;"Emilly";"Martins";"18087-273";"926.244.628-48"
2;"Bianca";"Sousa";"49025-820";"388.852.001-09"
2;"Luiza";"Fernandes";"83701-410";"351.420.366-03"
1;"Luiza";"Rodrigues";"38041-048";"905.093.156-15"
1;"Eduardo";"Goncalves";"19024-390";"402.146.574-00"
1;"Yasmin";"Rodrigues";"72322-801";"447.120.415-79"
2;"Rebeca";"Barbosa";"22710-340";"442.607.834-24"
2;"Luiz";"Alves";"04626-001";"778.578.633-00"
1;"Kauê";"Lima";"72307-200";"130.958.512-19"
2;"Diego";"Barros";"25555-310";"187.036.836-30"
2;"Nicolash";"Goncalves";"25585-840";"174.959.261-47"
2;"Miguel";"Rocha";"66613-130";"313.896.938-05"
2;"Júlio";"Lima";"57600-620";"533.926.920-50"
2;"Julieta";"Araujo";"17212-593";"776.900.130-74"
2;"Nicolash";"Santos";"35051-750";"309.419.919-46"
2;"Emily";"Almeida";"72151-616";"378.157.890-99"
2;"Julieta";"Souza";"75703-230";"244.996.017-11"
2;"Cauã";"Gomes";"12947-451";"668.294.840-90"
2;"Vitór";"Azevedo";"64002-520";"922.455.410-57"
1;"Letícia";"Pereira";"99020-560";"899.764.743-18"
2;"Matilde";"Araujo";"54450-360";"643.863.239-29"
2;"José";"Araujo";"96415-690";"306.992.030-66"
2;"Bianca";"Barbosa";"32050-380";"413.453.064-40"
1;"Marisa";"Santos";"88058-430";"725.907.104-45"
1;"Kauan";"Araujo";"83609-225";"817.502.610-30"
2;"Nicolas";"Goncalves";"13564-240";"931.856.121-08"
1;"Vinicius";"Rodrigues";"31255-800";"993.658.182-22"
1;"Kauã";"Cavalcanti";"23093-520";"514.103.501-85"
1;"Leonor";"Martins";"05763-380";"872.060.676-11"
